X,Y,apn,OBJECTID,licenseNumber,licenseType,licenseStatus,liquorType,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lat,long,xWebMercator,yWebMercator,lastUpdateDate
-93.234365980653,44.9808996599239,2402924420015,1,LIC54091,BLLiqOff,Inactive,Off Sale,2016/10/04 00:00:00+00,2020,2020/10/01 00:00:00+00,DINKYTOWN WINE & SPIRITS,1412 5TH ST SE,,3,Marcy Holmes,44.9809,-93.23437,-10378802.1454,5618515.0296,2021/01/20 18:15:24+00
-93.2469104882684,44.9671598640578,2502924320614,2,LIC54106,BLLiqOff,Pending,Off Sale,2016/04/01 00:00:00+00,2021,2021/04/01 00:00:00+00,CEDAR RIVERSIDE LIQUOR STORE,617 CEDAR AVE S,,6,Cedar Riverside,44.96716,-93.24691,-10380198.5936,5616352.9597,2021/01/18 18:15:32+00
-93.2520587735859,44.9943073819302,1402924440038,3,LIC53973,BLLiqOff,Inactive,Off Sale,2016/04/01 00:00:00+00,2017,2017/04/01 00:00:00+00,GOPHER LIQUOR STORE,335 MONROE ST NE,,3,St. Anthony East,44.99431,-93.25206,-10380771.6981,5620625.3445,2018/05/25 18:20:11+00
-93.2627593929609,45.010307823271,1102924320142,4,LIC383585,BLLiqOff,Approved,Off Sale,2020/11/10 08:20:06+00,2021,2021/10/01 23:59:00+00,Urban Liquor,2201 UNIVERSITY AVE NE,,1,Holland,45.01031,-93.26276,-10381962.8856,5623144.388,2020/11/11 18:15:24+00
-93.2718390428299,44.984520881049,2202924140082,5,LIC54014,BLLiqOff,Pending,Off Sale,2016/04/01 00:00:00+00,2021,2021/04/01 00:00:00+00,NORTH LOOP WINE AND SPIRITS,218 WASHINGTON AVE N,,3,North Loop,44.98452,-93.27184,-10382973.6276,5619084.9448,2021/01/18 18:15:32+00
-93.2749924582606,44.9747868200634,2702924129002,6,LIC107813,BLLiqOff,Pending,Off Sale,2017/10/06 15:03:30+00,2021,2021/04/01 00:00:00+00,TARGET T1375,900 NICOLLET MALL,,7,Downtown West,44.97479,-93.27499,-10383324.6642,5617553.06,2021/01/18 18:15:32+00
-93.2901382668515,44.9794545030538,2102924440029,7,LIC54002,BLLiqOff,Inactive,Off Sale,2016/01/07 00:00:00+00,2018,2018/07/01 00:00:00+00,HENRY & SON,811 GLENWOOD AVE #101,,5,Harrison,44.97945,-93.29014,-10385010.6879,5618287.5979,2018/05/25 18:20:11+00
-93.2210831243494,44.9982087909857,1802923310008,8,LIC107930,BLDistill,Inactive,Off Sale,2018/07/02 14:22:48+00,2019,2019/01/01 23:59:59+00,WANDER NORTH DISTILLERY,771 HARDING ST NE," Distillery, Off-Sale Distilled Spirits",1,Mid - City Industrial,44.99821,-93.22108,-10377323.5046,5621239.5014,2019/01/01 18:16:12+00
0,0,,9,LIC54120,BLLiqOff,Pending,Off Sale,2016/04/01 00:00:00+00,2021,2021/04/01 00:00:00+00,MGM WINE & SPIRITS,3058 EXCELSIOR BLVD,,,,0,0,0,0,2021/01/18 18:15:32+00
-93.2616726749106,44.9480713249547,0202824210076,10,LIC54101,BLLiqOff,Pending,Off Sale,2016/03/18 00:00:00+00,2021,2021/04/01 00:00:00+00,CHICAGO LAKE LIQUORS,825 LAKE ST E,,9,Powderhorn Park,44.94807,-93.26167,-10381841.9127,5613350.0804,2021/01/18 18:15:32+00
-93.3086169329444,45.0137900172906,0802924140158,11,LIC53951,BLLiqOff,Inactive,Off Sale,2016/01/07 00:00:00+00,2017,2017/10/01 00:00:00+00,UNION LIQUOR STORE,3219 PENN AVE N,,4,Cleveland,45.01379,-93.30862,-10387067.7236,5623692.7035,2018/05/25 18:20:11+00
-93.2627593929609,45.010307823271,1102924320142,12,LIC54092,BLLiqOff,Inactive,Off Sale,2016/10/04 00:00:00+00,2019,2019/10/01 00:00:00+00,B & G  WINE & LIQUOR,2201 UNIVERSITY AVE NE,,1,Holland,45.01031,-93.26276,-10381962.8856,5623144.388,2019/07/29 18:16:53+00
-93.2666171091339,45.0129538681593,1102924320162,13,LIC54107,BLLiqOff,Inactive,Off Sale,2016/10/04 00:00:00+00,2018,2018/10/01 00:00:00+00,MOURADO'S LIQUORS,2426 2ND ST NE,,3,Bottineau,45.01295,-93.26662,-10382392.3246,5623561.0382,2018/07/19 18:16:14+00
-93.227565263235,45.0062409089966,1202924440177,14,LIC53926,BLLiqOff,Pending,Off Sale,2016/03/18 00:00:00+00,2021,2021/04/01 00:00:00+00,STINSON WINE & SPIRITS,2315 18TH AVE NE,,1,Windom Park,45.00624,-93.22757,-10378045.093,5622504.0431,2021/01/18 18:15:32+00
-93.2887176243488,44.90653830607,1602824440132,15,LIC54076,BLLiqOff,Inactive,Off Sale,2016/11/18 00:00:00+00,2017,2017/04/01 00:00:00+00,SOUTH LYNDALE LIQUORS,5300 LYNDALE AVE S,,13,Lynnhurst,44.90654,-93.28872,-10384852.5427,5606819.8363,2017/04/06 18:16:10+00
-93.2887176243488,44.90653830607,1602824440132,16,LIC54077,BLLiqOff,Pending,Off Sale,2016/03/18 00:00:00+00,2021,2021/04/01 00:00:00+00,SOUTH LYNDALE LIQUORS,5300 LYNDALE AVE S,,13,Lynnhurst,44.90654,-93.28872,-10384852.5427,5606819.8363,2021/01/18 18:15:32+00
-93.288437739849,45.0000722799623,1602924140207,17,LIC53896,BLLiqOff,Inactive,Off Sale,2016/02/26 00:00:00+00,2017,2017/01/01 00:00:00+00,MERWIN LIQUORS,700 WEST BROADWAY,,5,Hawthorne,45.00007,-93.28844,-10384821.3861,5621532.8652,2018/05/25 18:20:11+00
-93.2944567370186,44.9922799449867,1602924430113,18,LIC54081,BLLiqOff,Pending,Off Sale,2016/04/01 00:00:00+00,2021,2021/04/01 00:00:00+00,MICKYS LIQUOR STORE,1104 PLYMOUTH AVE N,,5,Near - North,44.99228,-93.29446,-10385491.4178,5620306.2034,2021/01/18 18:15:32+00
-93.2151423210337,44.9194164688967,1802823120046,19,LIC54089,BLLiqOff,Pending,Off Sale,2016/04/01 00:00:00+00,2021,2021/04/01 00:00:00+00,Falls Liquor,4604 MINNEHAHA AVE,,12,Hiawatha,44.91942,-93.21514,-10376662.1774,5608844.1672,2021/01/18 18:15:32+00
-93.2743982038355,44.9771359508391,2202924430086,20,LIC54015,BLLiqOff,Inactive,Off Sale,2016/10/04 00:00:00+00,2018,2018/10/01 13:30:00+00,TEAM LIQUOR WINE & SPIRITS,19 7TH ST S,,7,Downtown West,44.97714,-93.2744,-10383258.5121,5617922.7275,2018/05/25 18:20:11+00
-93.2699659404782,44.9768659827524,2702924119002,21,LIC54112,BLLiqOff,Inactive,Off Sale,2016/10/04 00:00:00+00,2017,2017/10/01 00:00:00+00,SKYWAY WINE & SPIRITS,601 MARQUETTE AVE #218,,7,Downtown West,44.97686,-93.26995,-10382765.1148,5617880.2436,2019/01/08 18:16:25+00
-93.2802681669062,44.9739072299779,2702924210088,22,LIC54035,BLLiqOff,Pending,Off Sale,2016/03/18 00:00:00+00,2021,2021/04/01 00:00:00+00,LUNDS & BYERLYS WINES & SPIRITS,1208 HARMON PL,,7,Loring Park,44.97391,-93.28027,-10383911.9534,5617414.6485,2021/01/18 18:15:32+00
-93.2911651032051,44.9634638221432,2802924440038,23,LIC53993,BLLiqOff,Approved,Off Sale,2016/01/07 00:00:00+00,2021,2021/07/01 00:00:00+00,Lowry Hill Liquors,1922 HENNEPIN AVE #1ST FLOOR,,7,Lowry Hill,44.96346,-93.29117,-10385124.9948,5615771.4455,2020/07/28 18:15:23+00
-93.2252667304428,44.9738053258763,3002923220010,24,LIC53917,BLLiqOff,Pending,Off Sale,2016/03/18 00:00:00+00,2021,2021/04/01 00:00:00+00,VALU LIQUORS,901 WASHINGTON AVE SE,,2,Prospect Park - East River Road,44.97381,-93.22527,-10377789.2215,5617398.6131,2021/01/18 18:15:32+00
-93.2884474659086,44.9611597489902,3302924110026,25,LIC53975,BLLiqOff,Inactive,Off Sale,2016/01/07 00:00:00+00,2017,2017/07/01 00:00:00+00,HUM'S LIQUOR STORE,2126 LYNDALE AVE S,,10,Lowry Hill East,44.96116,-93.28845,-10384822.4688,5615408.9547,2018/05/25 18:20:11+00
-93.294712914978,44.9485981872894,3302924430106,26,LIC54027,BLLiqOff,Approved,Off Sale,2016/01/07 00:00:00+00,2021,2021/07/01 00:00:00+00,HENNEPIN LAKE LIQUORS,1200 LAKE ST W,,10,Lowry Hill East,44.9486,-93.29471,-10385519.9354,5613432.9494,2020/07/28 18:15:23+00
-93.278296973017,44.9621764672189,3402924210096,27,LIC54007,BLLiqOff,Approved,Off Sale,2016/01/07 00:00:00+00,2021,2021/07/01 00:00:00+00,FRANKLIN NICOLLET LIQUOR STORE,2012 NICOLLET AVE #1ST FLOOR,,10,Whittier,44.96218,-93.2783,-10383692.5211,5615568.9092,2020/07/28 18:15:23+00
-93.2775084659965,44.9511618370405,3402924430165,28,LIC53986,BLLiqOff,Inactive,Off Sale,2016/04/01 00:00:00+00,2019,2019/04/01 00:00:00+00,OLD ARIZONA,2821 NICOLLET AVE,,10,Whittier,44.95116,-93.27751,-10383604.7449,5613836.191,2019/01/31 18:16:23+00
-93.2765322452177,44.9852300063002,2202924130136,29,LIC78426,BLDistill,Inactive,Off Sale,2016/01/07 00:00:00+00,2018,2018/01/01 00:00:00+00,MODIST BREWING CO.,505 3RD ST N," Distillery, Off-Sale Distilled Spirits",3,North Loop,44.98523,-93.27653,-10383496.0725,5619196.5526,2018/05/25 18:20:11+00
-93.2733002227081,44.9727210350419,2702924130278,30,LIC53924,BLLiqOff,Inactive,Off Sale,2016/10/04 00:00:00+00,2018,2018/10/01 00:00:00+00,HILTON MINNEAPOLIS,1001 MARQUETTE AVE,,7,Downtown West,44.97272,-93.2733,-10383136.2854,5617227.9933,2018/11/09 18:16:32+00
-93.2210831243494,44.9982087909857,1802923310008,31,LIC337805,BLBrewery,Inactive,Off Sale,2018/03/20 09:54:58+00,2018,2018/10/01 00:00:00+00,NORTHGATE BREWING,783 HARDING ST NE #100,,1,Mid - City Industrial,44.99821,-93.22108,-10377323.5046,5621239.5014,2018/05/25 18:20:11+00
-93.2520587735859,44.9943073819302,1402924440038,32,LIC351931,BLLiqOff,Pending,Off Sale,2017/05/17 14:58:03+00,2021,2021/04/01 23:59:00+00,GOPHER LIQUOR,335 MONROE ST NE,,3,St. Anthony East,44.99431,-93.25206,-10380771.6981,5620625.3445,2021/01/19 18:15:24+00
-93.223734360875,44.9941100838864,1802923330036,33,LIC360603,BLDistill,Inactive,Off Sale,2017/12/14 10:51:12+00,2018,2018/07/01 00:00:00+00,BROTHER JUSTUS,451 TAFT ST NE," Distillery, Off-Sale Distilled Spirits",1,Mid - City Industrial,44.99411,-93.22373,-10377618.6389,5620594.2871,2018/05/25 18:20:11+00
-93.2210831243494,44.9982087909857,1802923310008,34,LIC337806,BLBrewery,Inactive,Off Sale,2018/03/20 09:52:47+00,2018,2018/10/01 00:00:00+00,NORTHGATE BREWING,783 HARDING ST NE #100, Off Sale Malt Liquor - Growler,1,Mid - City Industrial,44.99821,-93.22108,-10377323.5046,5621239.5014,2018/05/25 18:20:11+00
-93.208631951692,44.9732948919796,3002923140002,35,LIC337804,BLBrewery,Inactive,Off Sale,2017/07/10 08:29:47+00,2017,2017/10/01 00:00:00+00,SURLY BREWING COMPANY,520 MALCOLM AVE SE, Off Sale Malt Liquor - Growler,2,Prospect Park - East River Road,44.97329,-93.20863,-10375937.4464,5617318.2928,2017/07/11 18:16:12+00
