X,Y,apn,OBJECTID,licenseNumber,licenseType,licenseStatus,liquorType,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lat,long,xWebMercator,yWebMercator,lastUpdateDate
-93.2211461456581,44.9876467461178,1902923240200,1,LIC390992,BLLiquor,Approved,On Sale,2020/11/09 08:45:23+00,2021,2021/10/01 23:59:59+00,Manning's Restaurant and Bar,2200 COMO AVE SE," Liquor, On Sale, No Entertainment",2,Como,44.98765,-93.22115,-10377330.5201,5619576.9288,2020/11/10 18:15:17+00
-93.2695552567814,44.9773294507298,2202924440060,2,LIC391791,BLLiquor,Approved,On Sale,2020/12/14 08:51:15+00,2022,2022/01/01 00:00:00+00,Rand Tower Hotel,527 MARQUETTE AVE," Liquor, On Sale, General Entertainment",7,Downtown West,44.97733,-93.26956,-10382719.3977,5617953.178,2021/01/07 18:15:21+00
-93.3080198676909,44.9616111130999,3302924220052,3,LIC392139,BLWine,Approved,On Sale,2021/01/22 13:06:20+00,2022,2022/04/01 23:59:59+00,The Kenwood,2115 21ST ST W," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",7,Kenwood,44.96161,-93.30802,-10387001.2586,5615479.9649,2021/01/23 18:15:16+00
-93.284007403378,44.9342350192649,0302824330126,4,LIC368655,BLWine,Pending,On Sale,2020/04/14 15:53:36+00,2021,2021/04/01 12:05:00+00,Good Times,322 38TH ST W," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",8,King Field,44.93424,-93.28401,-10384328.2033,5611174.071,2021/01/18 18:15:25+00
-93.2267147509004,44.9266758950055,0702823320029,5,LIC66159,BLWine,Pending,On Sale,2019/04/23 07:50:39+00,2020,2020/04/01 00:00:00+00,CHRIS & ROB'S CHICAGOS TASTE AUTHORITY,3101 42ND ST E," Wine, On Sale, Class D Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, Limited Entertainment",12,Ericsson,44.92668,-93.22671,-10377950.4144,5609985.4834,2020/05/01 18:15:19+00
-93.3014949806758,44.9917854099267,1602924340140,6,LIC80410,BLLiquor,Pending,On Sale,2019/08/22 08:49:57+00,2020,2020/04/01 00:00:00+00,Elk's Lounge,1614 PLYMOUTH AVE N," Liquor, On Sale, Bottle Club",5,Near - North,44.99179,-93.30149,-10386274.9115,5620228.3598,2020/11/18 18:15:17+00
-93.2636539631686,44.9743189809746,2602924220044,7,LIC389838,BLWine,Pending,On Sale,2020/09/08 09:03:08+00,2021,2021/04/01 23:59:59+00,Eurest Dining Services,600 PORTLAND AVE," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",7,Elliot Park,44.97432,-93.26365,-10382062.4687,5617479.441,2021/01/19 18:15:17+00
-93.2570564823971,44.9764279582748,2602924120016,8,LIC379368,BLLiquor,Pending,On Sale,2020/01/23 09:25:35+00,2020,2020/04/01 23:59:00+00,Moxy Minneapolis Downtown,247 CHICAGO AVE," Liquor, On Sale, General Entertainment",3,Downtown East,44.97643,-93.25706,-10381328.0405,5617811.3137,2020/06/27 18:15:17+00
-93.2694189661832,44.947791727184,0302824110232,9,LIC380557,BLWine,Pending,On Sale,2019/12/17 07:36:52+00,2020,2020/04/01 00:00:00+00,Las Charolas Restaurant,417 LAKE ST E #79," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",9,Central,44.94779,-93.26942,-10382704.2259,5613306.1034,2020/10/24 18:15:16+00
-93.2358676242449,44.9656015788143,2502924430077,10,LIC346088,BLWine,Pending,On Sale,2020/04/06 08:57:56+00,2021,2021/04/01 23:59:00+00,Davanni's Pizza & Hot Hoagies,2500 RIVERSIDE AVE," Wine, On Sale, Add Strong Beer; Wine, On Sale, Class E Entertainment; Wine, On Sale, No Entertainment",2,Cedar Riverside,44.9656,-93.23587,-10378969.3076,5616107.7834,2021/01/19 18:15:17+00
-93.2298305350055,44.9876001679231,2402924140005,11,LIC359771,BLWine,Pending,On Sale,2020/03/23 08:59:32+00,2021,2021/04/01 23:59:59+00,RAMEN KAZAMA SELECT,1510 COMO AVE SE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",2,Como,44.9876,-93.22983,-10378297.2619,5619569.5976,2021/01/19 18:15:17+00
-93.2235728069559,44.9345205736859,0602823330027,12,LIC74695,BLBeer,Pending,On Sale,2015/12/11 00:00:00+00,2021,2021/04/01 00:00:00+00,Vincent Giantvalley Post,3751 MINNEHAHA AVE," Beer, On Sale, Bottle Club",12,Howe,44.93452,-93.22357,-10377600.6548,5611218.9743,2021/01/17 18:15:24+00
-93.2450729448289,44.9999811058796,1302924230042,13,LIC374651,BLWine,Pending,On Sale,2019/05/07 08:04:18+00,2021,2021/04/01 00:00:00+00,Dogwood Coffee,1209 TYLER ST NE #150," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",1,Northeast Park,44.99998,-93.24507,-10379994.0392,5621518.5117,2021/01/21 18:15:25+00
-93.2643614682015,45.0005799867641,1402924230091,14,LIC386217,BLWine,Pending,On Sale,2020/02/24 10:00:24+00,2021,2021/04/01 23:59:59+00,Mary Ellen's Bistro,300 13TH AVE NE," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",3,Sheridan,45.00058,-93.26436,-10382141.2278,5621612.7937,2021/01/19 18:15:17+00
-93.3243666169172,44.922916722036,0802824330009,15,LIC355382,BLWine,Approved,On Sale,2020/04/06 08:57:46+00,2021,2021/04/01 23:59:59+00,PENNY'S COFFEE,3509 44TH ST W," Wine, On Sale, Class D Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, Limited Entertainment",13,Linden Hills,44.92292,-93.32437,-10388820.9704,5609394.4538,2020/04/07 18:15:18+00
-93.2195052506208,44.9340620310995,0702823210046,16,LIC350829,BLWine,Pending,On Sale,2020/04/06 08:57:06+00,2021,2021/04/01 23:59:59+00,FIREROAST CAFE,3800 37TH AVE S," Wine, On Sale, Add Strong Beer; Wine, On Sale, Class E Entertainment; Wine, On Sale, No Entertainment",12,Howe,44.93406,-93.21951,-10377147.8565,5611146.8688,2021/01/19 18:15:17+00
-93.2528388597988,44.9086298381239,1402824430003,17,LIC350897,BLWine,Pending,On Sale,2020/04/06 08:57:39+00,2021,2021/04/01 23:59:00+00,HOT PLATE 2.0,5204 BLOOMINGTON AVE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",11,Hale,44.90863,-93.25284,-10380858.5369,5607148.5754,2021/01/19 18:15:17+00
-93.2534591006884,44.989710959765,2302924120243,18,LIC65908,BLWine,Pending,On Sale,2020/03/23 08:59:42+00,2021,2021/04/01 00:00:00+00,GARDENS OF SALONICA,19 5TH ST NE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",3,Nicollet Island - East Bank,44.98971,-93.25346,-10380927.5818,5619901.8328,2021/01/18 18:15:25+00
-93.2339913229924,44.9472241262328,0102824120041,19,LIC353749,BLWine,Pending,On Sale,2020/04/06 08:57:38+00,2021,2021/04/01 23:59:00+00,Geek Love Cafe At Moon Palace Books,3032 MINNEHAHA AVE," Wine, On Sale, Add Strong Beer; Wine, On Sale, Class A Entertainment; Wine, On Sale, General Entertainment",9,Longfellow,44.94721,-93.23398,-10378760.4387,5613216.828,2021/01/19 18:15:17+00
-93.2223281021966,44.9325938727352,0702823210122,20,LIC368420,BLWine,Pending,On Sale,2020/03/23 08:59:51+00,2021,2021/04/01 23:59:59+00,MESERET ETHIOPIAN RESTAURANT,3867 MINNEHAHA AVE," Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",12,Howe,44.93259,-93.22233,-10377462.0949,5610916.0058,2021/01/19 18:15:17+00
-93.2567024868864,44.9785232112436,2302924439001,21,LIC390597,BLWine,Pending,On Sale,2020/10/01 10:13:19+00,2021,2021/04/01 23:59:59+00,F + B,750 2ND ST S," Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",3,Downtown East,44.97852,-93.2567,-10381288.6339,5618141.0388,2021/01/19 18:15:17+00
-93.2884809658822,44.9535552832338,3302924410036,22,LIC373613,BLWine,Pending,On Sale,2020/04/06 08:57:35+00,2021,2021/04/01 23:59:59+00,FIRE & NICE ALEHOUSE,2700 LYNDALE AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",10,Lowry Hill East,44.95356,-93.28848,-10384826.198,5614212.6772,2021/01/19 18:15:17+00
-93.3185961485525,44.9126953060345,1702824130190,23,LIC369967,BLWine,Pending,On Sale,2020/04/06 08:56:53+00,2021,2021/04/01 23:59:00+00,Taqueria el Travieso,4953 XERXES AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",13,Fulton,44.9127,-93.3186,-10388178.6048,5607787.6045,2021/01/19 18:15:17+00
