start_station_name,Ride_count
Lake Calhoun Center,3821
6th Ave SE & University Ave,3483
W 36th Street & W Calhoun Parkway,2419
11th Ave S & S 2nd Street,2355
15th Ave SE & SE 4th Street,2346
Chicago Ave & S Washington Ave,2280
Lake Harriet Bandshell,1975
Nicollet Mall & 10th Street,1973
Gateway Park,1870
Washington & Cedar,1775
Hiawatha Ave & E 50th Street,1756
Lake Nokomis,1738
S 5th Street & Nicollet Mall,1735
West 15th Street & Willow,1734
University & Bank Street SE,1632
Washington Ave SE & Union Street SE,1604
30th Ave SE & SE 4th Street,1518
Lake Street & Humboldt,1498
Boom Island Park,1452
Lake of the Isles Park,1390
Mill City Quarter,1387
Nicollet & Franklin,1377
Delaware Street SE & 26th Ave SE,1374
YWCA Downtown,1343
McNamara Center,1334
Lyndale Ave S & 22nd Street ,1330
South 2nd Street & 3rd Ave S,1300
Coffman Union,1284
Nicollet Island,1277
N 4th Ave & W River Parkway,1266
15th Ave SE & Como Ave SE,1256
W Lake of the Isles Pkwy & W 21st Street,1254
Dupont Ave S & W 29th Street,1231
26th Street & Lyndale,1221
Portland Ave & Washington Ave,1216
Walker Art Center,1173
SE 7th Street & 10th Ave SE,1123
Hennepin & Laurel Ave,1120
Hennepin County Government Center,1082
5th Ave S & S 8th Street,1079
Grant Street & Portland Ave,1073
Lyndale Ave S & W 29th Street,1072
2nd Ave N & Washington Ave N,1064
26th Street & Hennepin,1062
Dupont Ave S & 22nd Street,1033
Park Ave & 4th Street S,1022
Sanford Hall,1008
Como Ave SE & 29th Ave SE,1002
N Washington Ave & 9th Ave N,998
Lake Street & West River Parkway,995
